Label,Quantity,  Description,                  Package,    Part Number,   Required?,    Comment
J1,1,     1x8 connector socket 0.1in,        TH,        generic,         Yes,    
J2,1,     1x8 connector pin 0.1in,           TH,        generic,         Yes,   
J3,1,     1x2 connector socket 0.1in,        TH,        generic,         Yes,  
J4,1,     1x8 connector pin 0.1in,           TH,        generic,         Yes, 
J5,1,     1x8 connector pin 0.1in,           TH,        generic,         Yes,
J6,1,     1x8 connector socket 0.1in,        TH,        generic,         Yes,        
J7,1,     1x8 connector pin 0.1in,           TH,        generic,         Yes,       
J8,1,     1x2 connector socket 0.1in,        TH,        generic,         Yes,      
J9,1,     1x8 connector pin 0.1in,           TH,        generic,         Yes,     
J10,1,    1x8 connector pin 0.1in,           TH,        generic,         Yes,    
R1-R16,16,     4300 ohm resistor,805,   ERA-6AEB432V,         Yes,    0.125W. 1% tolerance or better.
