"PCBWay Bom Quotation, Product No.:T-1N24W341931A",,,,,,,,,,,,,,,,
Item #,*Designator,*Qty,*Mfg Part #,Description / Value,*Package/Footprint,Your Instructions / Notes,*Unit Price(5 sets),*Total,*Delivery Time,*Unit Price(10 sets),*Total,*Delivery Time,*Actual Purchase Mfg Part #,*PCBWay Note,Customer Reply,PCBWay Update
1,"C1,C2, C5-C14",12,C0805C106J8RAC,10uF Ceramic,0805,X7R or better. 5% or smaller. 10 VDC or higher rating.,$0.980,$58.800,,$0.772,$92.640,,,,,
2,C3,1,C0805C104K3RACTU,0.1uF Ceramic,0805,X7R or better. 5% or smaller. 10 VDC or higher rating.,$0.284,$1.420,,$0.189,$1.890,,,,,
3,C4,1,C0805C105J4RACTU,1uF Ceramic,0805,X7R or better. 5% or smaller. 10 VDC or higher rating.,$0.550,$2.750,7-10 Workdays,$0.504,$5.040,,,,,
4,"D1,D5,D6",3,,LED - RED,0805,Any SMD LED in an 0805 package.,$0.046,$0.690,,$0.034,$1.020,,NCD0805R1,,,
5,"D2,D7",2,,LED - GREEN,0805,Any SMD LED in an 0805 package.,$0.053,$0.530,,$0.053,$1.060,,NCD0805G1,,,
6,D3,1,,LED - BLUE,0805,Any SMD LED in an 0805 package.,$0.112,$0.560,,$0.056,$0.560,,NCD0805B2,,,
7,D4,1,,LED - YELLOW,0805,Any SMD LED in an 0805 package.,$0.085,$0.425,,$0.042,$0.420,,NCD0805Y1,,,
8,"J10, J12",2,,1x2 pin male 0.1in,-,,$0.158,$1.580,7-10 Workdays,$0.158,$3.160,7-10 Workdays,61300211121,,,
9,J46,1,,1x6 pin male 0.1in,-,,$0.520,$2.600,7-10 Workdays,$0.416,$4.160,7-10 Workdays,61300611121,,,
10,REF07,1,M22-7140342,2x3 pin female 2mm,-,,$1.248,$6.240,,$1.248,$12.480,,,,,
11,J2,1,Cetus J1B1211CCD,Ethernet Jack,-,,$1.711,$8.555,,$1.700,$17.000,,J1B1211CCD,,,
12,"J4-J9,J16-J45",36,,1x8 pin male 0.1in,-,Header for connection to external sensors.,$0.300,$54.000,7-10 Workdays,$0.295,$106.200,7-10 Workdays,61300811121,,,
13,REF04,1,,1x6 pin female 0.1in,-,,$0.826,$4.130,7-10 Workdays,$0.659,$6.590,7-10 Workdays,PPTC061LFBN-RC,,,
14,"REF05, J48",2,,1x3 pin female 0.1in,-,Header. Right. Next to R14 and J11.,$0.479,$4.790,7-10 Workdays,$0.479,$9.580,7-10 Workdays,PPPC031LFBN-RC,,,
15,REF03,1,,1x13 pin female 0.1in,-,Header. Bottom. Next to D7 and R13.,$1.132,$5.660,7-10 Workdays,$1.051,$10.510,7-10 Workdays,PPTC131LFBN-RC,,,
16,REF06,1,,1x2 pin female 0.1in,-,Header. Left. Solder to 3.3v and 5v. Do not solder a connection to gnd location.,$0.517,$2.585,7-10 Workdays,$0.404,$4.040,7-10 Workdays,PPTC021LFBN-RC,,,
17,R1,1,ERA-6VEB1200V,120 ohms,0805,0.25W. 0.2% tolerance or better.,$0.347,$1.735,,$0.231,$2.310,,,,,
18,"R2-R6,R15-R16",7,ERA-6AED752V,7500 ohms,0805,For LED. Can use smaller/larger value for brighter/dimmer LED.,$0.162,$5.670,,$0.129,$9.030,,,,,
19,"R7,R8",2,ERA-6AED470V,47 ohms,0805,0.125W. 5% tolerance or better. For IRIG signal.,$0.189,$1.890,,$0.189,$3.780,,,,,
