"PCBWay Bom Quotation, Product No.:T-1N23W341931A",,,,,,,,,,,,,
Item #,*Designator,*Qty,*Mfg Part #,Description / Value,*Package/Footprint,Your Instructions / Notes,*Unit Price(5 sets),*Total,*Delivery Time,*Actual Purchase Mfg Part #,*PCBWay Note,Customer Reply,PCBWay Update
1,"C1,C5",2,C0805C106J8RACAUTO,10uF Ceramic,0805,X7R or better. 5% or better. 10 VDC or higher rating.,$1.239,$12.390,7-10 Workdays,,,,
2,"C2,C3,C6,C7,C9",5,C0805C105J4RACTU,1uF Ceramic,0805,X7R or better. 5% or better. 10 VDC or higher rating.,$0.189,$4.725,,,,,
3,C4,1,0805ZD476MAT2A,47uF Ceramic,0805,X5R or better. 20% or better. 10 VDC or higher rating.,$0.473,$2.365,,,,,
4,C8,1,C0805C471J3RACTU,470pF Ceramic,0805,X7R or better. 5% or better. 10 VDC or higher rating.,$0.284,$1.420,,,,,
5,J1,1,,1x13 pin male 0.1in,TH,,$0.354,$1.770,7-10 Workdays,PH1-13-UA,,,
6,"J2,J4",2,,1x3 pin male 0.1in,TH,,$0.160,$1.600,7-10 Workdays,61300311121,,,
7,J3,1,,1x6 pin male 0.1in,TH,,$0.520,$2.600,7-10 Workdays,61300611121,,,
8,R1,1,ERA-6AED124V,120K ohms,0805,0.125W. 5% tolerance or better.,$0.284,$1.420,,,,,
9,R2,1,ERJ-U6SFR20V,0.2 ohms,0805,Resistance less than 0.5 ohms. 0.125W. 5% or better tolerance.,$0.347,$1.735,,,,,
10,"R3,R4",2,ERA-6AED470V,47 ohms,0805,0.125W. 5% tolerance or better.,$0.189,$1.890,,,,,
11,"SW1,SW2",2,DS04-254-1-02BK-SMT,2 position switch,-,,$0.973,$9.730,7-10 Workdays,,,,
12,U1,1,REF6025,2.5v reference,VSSOP-8,Select reference voltage based on maximum expected value from external sensor.,$7.245,$36.225,,REF6025IDGKR,,,
13,U2,1,ADS8860,ADC. 1Msps. 16-bit,VSSOP-10,,$17.710,$88.550,,ADS8860IDGSR,,,
14,U3,1,SN74LV4051,8:1 multiplexer,SOIC-16,Equivalent is ok.,$0.409,$2.045,,SN74LV4051ADR,,,
15,U4,1,THS4281,op amp,SOT-23-5,Equivalent is ok.,$4.468,$22.340,,THS4281DBVR,,,
16,H1,1,-,Mounting hole 2.2mm,-,Nothing to install just noting the mounting hole diameter for bolt selection.,,,,,[DNP不要贴];,,
,,,,,,,Component Cost,$190.81,,,,,
,,,,,,,Assembly Cost,$29.00,,,,,
,,,,,,,PCB Cost,$5.00,,,,,
,,,,,,,V2 Member 2% off,-$0.68,,,,,
,,,,,,,All Total 5 Sets,$224.13,,,,,
